P,G(i),H_sun,T2m,WS10m,Int,hora,mes,Valor probable fut
0.0,0.0,0.0,10.87,0.69,0.0,22,1,0.0
0.0,0.0,0.0,10.56,0.83,0.0,23,1,0.0
0.0,0.0,0.0,10.2,1.1,0.0,0,1,0.0
0.0,0.0,0.0,10.0,1.38,0.0,1,1,0.0
0.0,0.0,0.0,9.76,1.59,0.0,2,1,0.0
0.0,0.0,0.0,9.53,1.59,0.0,3,1,0.0
0.0,0.0,0.0,9.62,1.45,0.0,4,1,0.0
0.0,0.0,0.0,9.32,1.86,0.0,5,1,0.0
0.0,0.0,0.0,9.42,2.28,0.0,6,1,0.0
0.0,0.0,0.0,9.54,2.55,0.0,7,1,126.11
0.0,0.0,0.0,9.78,3.1,0.0,8,1,87.9
7.47,19.47,8.95,10.04,3.45,0.0,9,1,66.45
56.67,82.51,16.28,10.95,4.34,0.0,10,1,51.84
16.4,32.45,21.63,11.62,5.38,0.0,11,1,59.34
46.33,70.46,24.49,12.12,6.83,0.0,12,1,69.81
31.29,51.92,24.51,12.05,6.62,0.0,13,1,26.59
35.65,57.48,21.69,12.55,6.41,0.0,14,1,91.4
27.58,47.28,16.37,12.46,7.1,0.0,15,1,47.32
21.93,39.87,9.07,11.89,7.72,0.0,16,1,0.0
0.0,0.0,0.0,11.03,7.72,0.0,17,1,0.0
0.0,0.0,0.0,10.01,7.93,0.0,18,1,0.0
0.0,0.0,0.0,9.86,6.34,0.0,19,1,0.0
0.0,0.0,0.0,9.38,5.72,0.0,20,1,0.0
0.0,0.0,0.0,9.05,5.52,0.0,21,1,0.0
0.0,0.0,0.0,8.88,5.72,0.0,22,1,0.0
0.0,0.0,0.0,8.48,5.72,0.0,23,1,0.0
0.0,0.0,0.0,8.28,5.45,0.0,0,1,0.0
0.0,0.0,0.0,8.82,5.52,0.0,1,1,0.0
0.0,0.0,0.0,8.6,6.07,0.0,2,1,0.0
0.0,0.0,0.0,7.7,6.76,0.0,3,1,0.0
0.0,0.0,0.0,7.98,6.14,0.0,4,1,0.0
0.0,0.0,0.0,8.09,5.79,0.0,5,1,0.0
0.0,0.0,0.0,8.16,6.0,0.0,6,1,0.0
0.0,0.0,0.0,8.03,7.1,0.0,7,1,0.0
0.0,0.0,0.0,8.13,6.21,0.0,8,1,6.8
169.12,208.67,9.04,8.35,5.93,0.0,9,1,213.69
165.01,202.83,16.39,8.81,6.07,0.0,10,1,80.13
25.17,43.57,21.76,8.72,6.0,0.0,11,1,235.58
550.84,640.27,24.65,9.3,6.0,0.0,12,1,22.37
270.97,321.36,24.68,9.3,5.52,0.0,13,1,62.5
628.42,733.46,21.88,9.17,5.52,0.0,14,1,250.71
174.13,213.15,16.56,8.94,5.45,0.0,15,1,58.32
176.72,217.5,9.26,8.67,5.31,0.0,16,1,0.0
0.0,0.0,0.0,8.19,5.24,0.0,17,1,0.0
0.0,0.0,0.0,7.92,4.76,0.0,18,1,0.0
0.0,0.0,0.0,7.92,4.34,0.0,19,1,0.0
0.0,0.0,0.0,7.61,4.14,0.0,20,1,0.0
0.0,0.0,0.0,7.46,4.0,0.0,21,1,0.0
0.0,0.0,0.0,7.46,4.07,0.0,22,1,0.0
0.0,0.0,0.0,7.41,4.07,0.0,23,1,0.0
0.0,0.0,0.0,7.5,4.14,0.0,0,1,0.0
0.0,0.0,0.0,7.52,4.07,0.0,1,1,0.0
0.0,0.0,0.0,7.5,3.86,0.0,2,1,0.0
0.0,0.0,0.0,7.67,3.86,0.0,3,1,0.0
0.0,0.0,0.0,7.63,3.59,0.0,4,1,0.0
0.0,0.0,0.0,7.26,3.66,0.0,5,1,0.0
0.0,0.0,0.0,7.22,3.45,0.0,6,1,0.0
0.0,0.0,0.0,6.95,4.0,0.0,7,1,0.0
0.0,0.0,0.0,7.25,4.07,0.0,8,1,27.22
276.48,329.89,9.13,7.57,4.0,0.0,9,1,25.64
426.04,495.6,16.5,8.46,4.76,0.0,10,1,76.14
622.05,728.23,21.9,9.31,5.1,0.0,11,1,559.05
678.43,802.93,24.81,9.85,4.62,0.0,12,1,580.33
381.01,448.7,24.87,10.37,4.48,0.0,13,1,622.29
611.77,723.05,22.07,10.63,4.55,0.0,14,1,332.73
263.84,315.2,16.75,10.48,4.34,0.0,15,1,441.6
171.32,213.24,9.45,10.27,4.21,0.0,16,1,0.0
0.0,0.0,0.0,9.85,3.86,0.0,17,1,0.0
0.0,0.0,0.0,9.4,3.45,0.0,18,1,0.0
0.0,0.0,0.0,8.96,3.38,0.0,19,1,0.0
0.0,0.0,0.0,8.92,3.52,0.0,20,1,0.0
0.0,0.0,0.0,8.74,3.59,0.0,21,1,0.0
0.0,0.0,0.0,8.64,3.31,0.0,22,1,0.0
0.0,0.0,0.0,8.65,3.24,0.0,23,1,0.0
0.0,0.0,0.0,8.65,2.83,0.0,0,1,0.0
0.0,0.0,0.0,8.41,2.48,0.0,1,1,0.0
0.0,0.0,0.0,7.95,2.34,0.0,2,1,0.0
0.0,0.0,0.0,7.38,2.07,0.0,3,1,0.0
0.0,0.0,0.0,7.5,1.86,0.0,4,1,0.0
0.0,0.0,0.0,7.13,2.07,0.0,5,1,0.0
0.0,0.0,0.0,6.83,2.14,0.0,6,1,0.0
0.0,0.0,0.0,7.55,2.69,0.0,7,1,45.88
0.0,0.0,0.0,7.47,2.48,0.0,8,1,213.02
217.0,263.98,9.22,8.05,2.69,0.0,9,1,336.25
63.35,89.9,16.62,9.25,2.9,0.0,10,1,434.73
248.97,299.13,22.05,10.18,3.66,0.0,11,1,440.68
123.01,158.87,24.98,10.64,4.21,0.0,12,1,139.16
496.01,585.5,25.05,10.78,4.14,0.0,13,1,405.77
264.02,316.15,22.26,10.8,4.48,0.0,14,1,222.15
155.05,194.02,16.95,10.78,4.21,0.0,15,1,51.58
117.64,152.65,9.64,10.69,4.34,0.0,16,1,0.0
0.0,0.0,0.0,10.26,4.07,0.0,17,1,0.0
0.0,0.0,0.0,9.85,3.93,0.0,18,1,0.0
0.0,0.0,0.0,9.51,3.59,0.0,19,1,0.0
0.0,0.0,0.0,9.28,3.38,0.0,20,1,0.0
0.0,0.0,0.0,9.2,3.31,0.0,21,1,0.0
0.0,0.0,0.0,9.22,3.17,0.0,22,1,0.0
0.0,0.0,0.0,9.02,3.17,0.0,23,1,0.0
0.0,0.0,0.0,8.85,3.24,0.0,0,1,0.0
0.0,0.0,0.0,8.73,3.03,0.0,1,1,0.0
0.0,0.0,0.0,8.7,3.17,0.0,2,1,0.0
0.0,0.0,0.0,8.73,3.31,0.0,3,1,0.0
0.0,0.0,0.0,8.71,3.31,0.0,4,1,0.0
0.0,0.0,0.0,8.8,3.24,0.0,5,1,0.0
0.0,0.0,0.0,8.88,3.31,0.0,6,1,0.0
