P;G(i);H_sun;T2m;WS10m;Int;hora;mes;Valor probable fut
0;0;0;529;159;0;7;1;0
0;0;0;496;179;0;8;1;1961
29188;34586;1009;47;20;0;9;1;1622
51621;61127;1766;733;179;0;10;1;70316
62355;74665;2327;94;255;0;11;1;79472
69656;84225;2636;1031;29;0;12;1;67011
68298;82299;2654;107;324;0;13;1;61947
37562;44452;238;1064;366;0;14;1;41375
32594;38646;1848;1063;393;0;15;1;3058
32077;38409;1112;1034;386;0;16;1;0
0;0;0;969;331;0;17;1;0
0;0;0;889;317;0;18;1;0
0;0;0;84;283;0;19;1;0
0;0;0;778;262;0;20;1;0
0;0;0;699;248;0;21;1;0
0;0;0;618;221;0;22;1;0
0;0;0;568;20;0;23;1;0
0;0;0;584;172;0;0;1;0
0;0;0;555;172;0;1;1;0
0;0;0;498;186;0;2;1;0
0;0;0;486;179;0;3;1;0
0;0;0;55;152;0;4;1;0
0;0;0;495;152;0;5;1;0
0;0;0;457;172;0;6;1;0
0;0;0;332;193;0;7;1;0
0;0;0;366;20;0;8;1;14568
29942;35428;1024;463;207;0;9;1;38615
49721;58377;1783;642;207;0;10;1;6804
63908;76346;2347;779;221;0;11;1;63367
67969;82155;2658;907;228;0;12;1;68298
69508;85007;2678;1035;207;0;13;1;54019
61947;74936;2404;1129;248;0;14;1;51099
50709;60689;1871;1149;269;0;15;1;26236
32632;39334;1135;1123;31;0;16;1;0
61;1799;25;1054;297;0;17;1;0
0;0;0;949;303;0;18;1;0
0;0;0;902;283;0;19;1;0
0;0;0;801;255;0;20;1;0
0;0;0;701;248;0;21;1;0
0;0;0;60;241;0;22;1;0
0;0;0;527;207;0;23;1;0
0;0;0;544;166;0;0;1;0
0;0;0;531;145;0;1;1;0
0;0;0;508;152;0;2;1;0
0;0;0;386;193;0;3;1;0
0;0;0;257;234;0;4;1;0
0;0;0;234;214;0;5;1;0
0;0;0;269;186;0;6;1;0
0;0;0;125;241;0;7;1;0
0;0;0;154;269;0;8;1;24446
18622;22369;1039;259;262;0;9;1;38519
4260;4934;1801;466;241;0;10;1;5604
64281;7656;2367;678;207;0;11;1;5377
70175;85549;2681;896;186;0;12;1;40426
69347;85327;2702;1049;172;0;13;1;61799
6295;77543;2429;1137;131;0;14;1;48141
49551;60516;1895;1175;9;0;15;1;2776
32551;39915;1158;117;76;0;16;1;0
11;834;272;1123;48;0;17;1;0
0;0;0;1065;48;0;18;1;0
0;0;0;911;124;0;19;1;0
0;0;0;704;172;0;20;1;0
0;0;0;528;221;0;21;1;0
0;0;0;431;262;0;22;1;0
0;0;0;383;276;0;23;1;0
0;0;0;35;276;0;0;1;0
0;0;0;336;283;0;1;1;0
0;0;0;332;29;0;2;1;0
0;0;0;344;297;0;3;1;0
0;0;0;357;31;0;4;1;0
0;0;0;368;324;0;5;1;0
0;0;0;368;324;0;6;1;0
0;0;0;41;338;0;7;1;0
0;0;0;294;338;0;8;1;2321
30611;35878;1055;392;324;0;9;1;1675
49826;58268;182;704;29;0;10;1;5914
63697;76174;2388;961;29;0;11;1;61749
70328;85174;2704;1122;324;0;12;1;68312
70035;84939;2727;1213;352;0;13;1;61799
65674;79352;2454;1264;359;0;14;1;48141
46512;55599;192;1284;352;0;15;1;35419
35327;42803;1181;1254;29;0;16;1;61
1145;2657;294;1161;269;0;17;1;0
0;0;0;1009;283;0;18;1;0
0;0;0;958;359;0;19;1;0
0;0;0;933;414;0;20;1;0
0;0;0;916;448;0;21;1;0
0;0;0;924;483;0;22;1;0
0;0;0;928;545;0;23;1;0
0;0;0;944;607;0;0;1;0
0;0;0;957;628;0;1;1;0
0;0;0;973;641;0;2;1;0
0;0;0;988;662;0;3;1;0
0;0;0;998;697;0;4;1;0
0;0;0;1007;71;0;5;1;0
0;0;0;1022;717;0;6;1;0
0;0;0;1015;731;0;7;1;0
0;0;0;1029;752;0;8;1;24446
807;204;1072;1031;724;0;9;1;38519
3082;5099;1839;1042;772;0;10;1;441
12541;16099;241;1081;848;0;11;1;6047
11949;15464;2728;1096;821;0;12;1;4702
5981;8622;2753;1115;759;0;13;1;1453
27187;32475;2479;1142;655;0;14;1;8262
50659;59587;1944;1166;559;0;15;1;13332
22944;2790;1205;1121;503;0;16;1;11319
154;927;317;1098;462;0;17;1;0
0;0;0;1049;448;0;18;1;0
0;0;0;1019;414;0;19;1;0
0;0;0;986;462;0;20;1;0
0;0;0;97;51;0;21;1;0
0;0;0;957;538;0;22;1;0
0;0;0;942;517;0;23;1;0
0;0;0;92;483;0;0;1;0
0;0;0;906;469;0;1;1;0
0;0;0;897;49;0;2;1;0
0;0;0;897;503;0;3;1;0
0;0;0;894;497;0;4;1;0
0;0;0;888;469;0;5;1;0
0;0;0;898;483;0;6;1;0
0;0;0;885;579;0;7;1;0
0;0;0;841;559;0;8;1;6924
11747;15083;1089;823;545;0;9;1;1132
9189;12234;1859;874;393;0;10;1;36552
16154;19999;2433;892;614;0;11;1;12455
5106;751;2753;865;738;0;12;1;9416
5256;7695;2778;885;648;0;13;1;11839
20617;24991;2505;953;586;0;14;1;11508
22854;27464;197;1003;572;0;15;1;16483
29192;34854;1229;1003;49;0;16;1;0
251;1113;339;938;538;0;17;1;0
0;0;0;849;497;0;18;1;0
0;0;0;865;407;0;19;1;0
0;0;0;844;366;0;20;1;0
0;0;0;829;379;0;21;1;0
0;0;0;855;352;0;22;1;0
0;0;0;861;359;0;23;1;0
0;0;0;849;414;0;0;1;0
0;0;0;834;469;0;1;1;0
0;0;0;834;476;0;2;1;0
0;0;0;867;538;0;3;1;0
0;0;0;878;545;0;4;1;0
0;0;0;896;517;0;5;1;0
0;0;0;932;497;0;6;1;0
0;0;0;917;483;0;7;1;151
0;0;0;928;434;0;8;1;7832
2218;3987;1107;947;393;0;9;1;23792
38369;45274;1879;1014;372;0;10;1;48489
57301;67917;2456;1085;407;0;11;1;58027
28587;34248;2778;1123;441;0;12;1;56022
19401;23964;2805;1174;469;0;13;1;44821
8946;12145;2532;1209;434;0;14;1;6287
9102;12324;1995;1225;359;0;15;1;4685
11034;14521;1253;1213;331;0;16;1;0
11;834;362;1188;386;0;17;1;0
0;0;0;1133;434;0;18;1;0
0;0;0;113;51;0;19;1;0
0;0;0;113;51;0;20;1;0
0;0;0;1113;524;0;21;1;0
0;0;0;1118;572;0;22;1;0
0;0;0;1123;614;0;23;1;0
0;0;0;1135;634;0;0;1;0
0;0;0;1113;669;0;1;1;0
0;0;0;1133;703;0;2;1;0
0;0;0;114;738;0;3;1;0
0;0;0;116;814;0;4;1;0
0;0;0;1182;848;0;5;1;0
0;0;0;1201;834;0;6;1;0
0;0;0;119;766;0;7;1;0
0;0;0;1191;641;0;8;1;30591
11395;14922;1126;1204;545;0;9;1;1064
4165;649;190;1245;497;0;10;1;13414
6938;9827;248;1288;503;0;11;1;8499
21321;26303;2804;1354;51;0;12;1;7652
903;12331;2832;1418;60;0;13;1;29946
18836;23472;2559;1408;634;0;14;1;7074
3764;6026;2021;1378;552;0;15;1;1061
7954;11022;1277;136;524;0;16;1;7954
108;834;385;1329;497;0;17;1;1153
0;0;0;1284;49;0;18;1;0
0;0;0;1263;51;0;19;1;0
0;0;0;1234;517;0;20;1;0
0;0;0;1207;531;0;21;1;0
0;0;0;1203;559;0;22;1;0
0;0;0;1217;559;0;23;1;0
0;0;0;1255;572;0;0;1;0
0;0;0;1302;614;0;1;1;0
0;0;0;1339;628;0;2;1;0
0;0;0;1346;614;0;3;1;0
0;0;0;1364;634;0;4;1;0
0;0;0;1378;683;0;5;1;0
0;0;0;1387;662;0;6;1;0
0;0;0;1381;703;0;7;1;0
0;0;0;1367;731;0;8;1;1234
9852;13221;1145;1363;759;0;9;1;18447
7608;10627;1922;1373;793;0;10;1;20482
